loc_id,ensembl,width
LOC100195713,ENSSSAG00000040195,76330
LOC100195715,ENSSSAG00000111816,3376
LOC100195737,ENSSSAG00000096990,16125
LOC100195738,ENSSSAG00000039915,190884
LOC100195750,ENSSSAG00000080729,4173
LOC100195752,ENSSSAG00000059349,19310
LOC100195755,ENSSSAG00000073038,4449
LOC100195761,ENSSSAG00000077815,16484
LOC100195767,ENSSSAG00000050085,29642
LOC100195769,ENSSSAG00000004645,1932
LOC100195810,ENSSSAG00000045577,10194
LOC100195821,ENSSSAG00000112020,1127
LOC100195835,ENSSSAG00000075301,3362
LOC100195842,ENSSSAG00000099197,15541
LOC100195848,ENSSSAG00000104209,33556
LOC100195876,ENSSSAG00000080828,17312
LOC100195900,ENSSSAG00000051846,39847
LOC100195904,ENSSSAG00000070334,7521
LOC100195912,ENSSSAG00000007023,18585
LOC100195915,ENSSSAG00000042802,7542
LOC100195918,ENSSSAG00000039671,5491
LOC100195964,ENSSSAG00000007897,26305
LOC100195966,ENSSSAG00000055784,8295
LOC100195969,ENSSSAG00000083675,4506
LOC100195970,ENSSSAG00000093928,813
LOC100195985,ENSSSAG00000005777,51739
LOC100195997,ENSSSAG00000115660,5282
LOC100196041,ENSSSAG00000009724,14808
LOC100196045,ENSSSAG00000110879,47380
LOC100196046,ENSSSAG00000002115,4960
LOC100196055,ENSSSAG00000072584,3236
LOC100196059,ENSSSAG00000005694,14127
LOC100196063,ENSSSAG00000107153,642
LOC100196067,ENSSSAG00000071911,7341
LOC100196086,ENSSSAG00000008811,3701
LOC100196094,ENSSSAG00000068420,5887
LOC100196095,ENSSSAG00000085719,14530
LOC100196103,ENSSSAG00000068256,36305
LOC100196115,ENSSSAG00000000620,51088
LOC100196120,ENSSSAG00000047226,3137
LOC100196131,ENSSSAG00000055813,2632
LOC100196153,ENSSSAG00000005477,1645
LOC100196171,ENSSSAG00000070543,11792
LOC100196191,ENSSSAG00000044819,2538
LOC100196198,ENSSSAG00000069677,1305
LOC100196220,ENSSSAG00000097848,4672
LOC100196236,ENSSSAG00000078723,1381
LOC100196247,ENSSSAG00000051891,1598
LOC100196256,ENSSSAG00000093277,22792
LOC100196267,ENSSSAG00000068297,36659
LOC100196274,ENSSSAG00000040199,4598
LOC100196280,ENSSSAG00000077592,2523
LOC100196297,ENSSSAG00000076904,4601
LOC100196332,ENSSSAG00000074257,4718
LOC100196333,ENSSSAG00000010260,1961
LOC100196367,ENSSSAG00000054771,58404
LOC100196378,ENSSSAG00000078749,15083
LOC100196383,ENSSSAG00000079933,9342
LOC100196388,ENSSSAG00000065919,1978
LOC100196392,ENSSSAG00000111661,1578
LOC100196400,ENSSSAG00000073512,4088
LOC100196452,ENSSSAG00000094599,16377
LOC100196455,ENSSSAG00000069963,5979
LOC100196459,ENSSSAG00000078268,56484
LOC100196464,ENSSSAG00000081704,1498
LOC100196469,ENSSSAG00000076689,5322
LOC100196483,ENSSSAG00000041826,4580
LOC100196494,ENSSSAG00000064919,4229
LOC100196496,ENSSSAG00000006681,65653
LOC100196502,ENSSSAG00000044651,52061
LOC100196515,ENSSSAG00000070202,5429
LOC100196517,ENSSSAG00000002901,1375
LOC100196527,ENSSSAG00000063504,27772
LOC100196534,ENSSSAG00000055202,32160
LOC100196537,ENSSSAG00000079726,2164
LOC100196543,ENSSSAG00000084437,17158
LOC100196545,ENSSSAG00000068070,8425
LOC100196560,ENSSSAG00000075119,9623
LOC100196565,ENSSSAG00000118060,1160
LOC100196573,ENSSSAG00000041660,6342
LOC100196581,ENSSSAG00000069553,1300
LOC100196610,ENSSSAG00000073041,11243
LOC100196612,ENSSSAG00000066345,71938
LOC100196627,ENSSSAG00000008409,8702
LOC100196652,ENSSSAG00000006477,14365
LOC100196653,ENSSSAG00000062862,26198
LOC100196661,ENSSSAG00000003260,3879
LOC100196663,ENSSSAG00000079046,46744
LOC100196664,ENSSSAG00000103129,74052
LOC100196669,ENSSSAG00000004421,6530
LOC100196673,ENSSSAG00000063839,6107
LOC100196677,ENSSSAG00000077617,2851
LOC100196679,ENSSSAG00000081518,6604
LOC100196680,ENSSSAG00000094977,80469
LOC100196681,ENSSSAG00000000720,131097
LOC100196682,ENSSSAG00000045091,6210
LOC100196683,ENSSSAG00000097337,3802
LOC100196684,ENSSSAG00000081245,8939
LOC100196685,ENSSSAG00000073093,5196
LOC100196688,ENSSSAG00000046596,6448
LOC100196693,ENSSSAG00000052563,39629
LOC100196698,ENSSSAG00000083917,10067
LOC100196702,ENSSSAG00000069060,14251
LOC100196748,ENSSSAG00000042514,6636
LOC100196762,ENSSSAG00000015760,5753
LOC100196779,ENSSSAG00000015493,15087
LOC100196798,ENSSSAG00000073670,8945
LOC100196807,ENSSSAG00000068267,1275
LOC100196808,ENSSSAG00000069616,9561
LOC100196824,ENSSSAG00000043713,149861
LOC100196828,ENSSSAG00000056867,58741
LOC100196829,ENSSSAG00000042466,23878
LOC100196833,ENSSSAG00000071903,1690
LOC100196839,ENSSSAG00000080015,5477
LOC100196840,ENSSSAG00000063566,8325
LOC100196851,ENSSSAG00000007166,5876
LOC100196865,ENSSSAG00000039458,13303
LOC100217343,ENSSSAG00000078892,12716
LOC100217346,ENSSSAG00000080590,2490
LOC100217353,ENSSSAG00000080321,4734
LOC100270810,ENSSSAG00000079828,18062
LOC100270811,ENSSSAG00000080225,5937
LOC100286403,ENSSSAG00000065991,12495
LOC100286404,ENSSSAG00000049310,2309
LOC100286407,ENSSSAG00000004223,15610
LOC100286410,ENSSSAG00000070635,29173
LOC100286411,ENSSSAG00000117369,143754
LOC100286412,ENSSSAG00000046709,38347
LOC100286414,ENSSSAG00000079853,4019
LOC100286423,ENSSSAG00000074429,11508
LOC100286437,ENSSSAG00000040846,1887
LOC100286439,ENSSSAG00000000305,7613
LOC100286441,ENSSSAG00000072449,17578
LOC100286442,ENSSSAG00000048880,2743
LOC100286452,ENSSSAG00000008326,7403
LOC100286456,ENSSSAG00000092999,1717
LOC100286462,ENSSSAG00000067657,174022
LOC100286477,ENSSSAG00000063313,47941
LOC100286508,ENSSSAG00000074522,2320
LOC100286550,ENSSSAG00000065264,785
LOC100286553,ENSSSAG00000003635,8992
LOC100286556,ENSSSAG00000102380,3097
LOC100286558,ENSSSAG00000118203,3757
LOC100286559,ENSSSAG00000072238,31431
LOC100286579,ENSSSAG00000007801,10680
LOC100286581,ENSSSAG00000044883,8415
LOC100286586,ENSSSAG00000118470,1368
LOC100286587,ENSSSAG00000115345,5358
LOC100286589,ENSSSAG00000076055,6681
LOC100286593,ENSSSAG00000005024,5823
LOC100286605,ENSSSAG00000080616,468593
LOC100286606,ENSSSAG00000015630,9233
LOC100286608,ENSSSAG00000069735,12362
LOC100286619,ENSSSAG00000116023,3010
LOC100286620,ENSSSAG00000056088,94080
LOC100286622,ENSSSAG00000075343,24287
LOC100286624,ENSSSAG00000004797,3220
LOC100286629,ENSSSAG00000056624,6603
LOC100286665,ENSSSAG00000055949,2106
LOC100286669,ENSSSAG00000006985,4061
LOC100286671,ENSSSAG00000051001,12482
LOC100286686,ENSSSAG00000066340,9501
LOC100286690,ENSSSAG00000081097,59775
LOC100286703,ENSSSAG00000106951,4849
LOC100286705,ENSSSAG00000070284,1257
LOC100286710,ENSSSAG00000064524,86225
LOC100286718,ENSSSAG00000057649,4767
LOC100286725,ENSSSAG00000068773,5112
LOC100286733,ENSSSAG00000070313,5993
LOC100286734,ENSSSAG00000002471,7694
LOC100302030,ENSSSAG00000042309,6136
LOC100306744,ENSSSAG00000001304,15202
LOC100306760,ENSSSAG00000004943,73770
LOC100306775,ENSSSAG00000039464,115353
LOC100306788,ENSSSAG00000043432,162077
LOC100306798,ENSSSAG00000023874,12406
LOC100306801,ENSSSAG00000052780,7666
LOC100306806,ENSSSAG00000005559,8298
LOC100306816,ENSSSAG00000055914,8306
LOC100306820,ENSSSAG00000003204,35680
LOC100306824,ENSSSAG00000075259,18674
LOC100306827,ENSSSAG00000010321,27455
LOC100306831,ENSSSAG00000005238,22304
LOC100316613,ENSSSAG00000000057,9666
LOC100316864,ENSSSAG00000028046,21161
LOC100329178,ENSSSAG00000116696,21249
LOC100329180,ENSSSAG00000061479,11066
LOC100379101,ENSSSAG00000065563,6080
LOC100379102,ENSSSAG00000079229,4945
LOC100379103,ENSSSAG00000098934,8173
LOC100379104,ENSSSAG00000009525,2255
LOC100379107,ENSSSAG00000009802,1788
LOC100380296,ENSSSAG00000122201,82855
LOC100380299,ENSSSAG00000051995,207957
LOC100380321,ENSSSAG00000077607,41859
LOC100380334,ENSSSAG00000052342,26155
LOC100380341,ENSSSAG00000042717,15165
LOC100380362,ENSSSAG00000050275,37264
LOC100380379,ENSSSAG00000005070,4349
LOC100380384,ENSSSAG00000074980,30413
LOC100380416,ENSSSAG00000065749,15976
LOC100380420,ENSSSAG00000064192,93663
LOC100380425,ENSSSAG00000091874,63776
LOC100380447,ENSSSAG00000047882,28223
LOC100380451,ENSSSAG00000117100,36374
LOC100380457,ENSSSAG00000041327,18516
LOC100380463,ENSSSAG00000001835,12365
LOC100380464,ENSSSAG00000003364,38954
LOC100380496,ENSSSAG00000080109,8623
LOC100380499,ENSSSAG00000081590,4478
LOC100380509,ENSSSAG00000005659,5271
LOC100380519,ENSSSAG00000066471,15698
LOC100380539,ENSSSAG00000000434,16065
LOC100380561,ENSSSAG00000072944,10448
LOC100380569,ENSSSAG00000073131,10712
LOC100380576,ENSSSAG00000054657,4091
LOC100380586,ENSSSAG00000004556,7319
LOC100380625,ENSSSAG00000075019,131956
LOC100380626,ENSSSAG00000066854,43619
LOC100380627,ENSSSAG00000046108,4896
LOC100380630,ENSSSAG00000081108,54319
LOC100380631,ENSSSAG00000056469,26191
LOC100380633,ENSSSAG00000119031,14294
LOC100380634,ENSSSAG00000076660,21996
LOC100380636,ENSSSAG00000076213,29280
LOC100380637,ENSSSAG00000074617,72265
LOC100380640,ENSSSAG00000040802,14142
LOC100380641,ENSSSAG00000009738,87742
LOC100380643,ENSSSAG00000044359,74515
LOC100380644,ENSSSAG00000007877,117246
LOC100380645,ENSSSAG00000097502,19097
LOC100380647,ENSSSAG00000017038,65254
LOC100380648,ENSSSAG00000063891,16147
LOC100380649,ENSSSAG00000064276,20692
LOC100380650,ENSSSAG00000063324,37693
LOC100380652,ENSSSAG00000075878,10321
LOC100380654,ENSSSAG00000000984,72909
LOC100380658,ENSSSAG00000065094,35134
LOC100380659,ENSSSAG00000054674,63081
LOC100380661,ENSSSAG00000093684,20016
LOC100380664,ENSSSAG00000044124,12976
LOC100380667,ENSSSAG00000054789,127125
LOC100380669,ENSSSAG00000041571,32465
LOC100380672,ENSSSAG00000054457,12180
LOC100380673,ENSSSAG00000045260,11840
LOC100380674,ENSSSAG00000069203,25242
LOC100380677,ENSSSAG00000065309,48628
LOC100380679,ENSSSAG00000068903,4404
LOC100380681,ENSSSAG00000120054,4080
LOC100380682,ENSSSAG00000064895,4849
LOC100380685,ENSSSAG00000057121,35210
LOC100380688,ENSSSAG00000076633,158296
LOC100380690,ENSSSAG00000079593,10294
LOC100380695,ENSSSAG00000047436,6238
LOC100380696,ENSSSAG00000009429,31544
LOC100380697,ENSSSAG00000050706,9815
LOC100380698,ENSSSAG00000006796,8992
LOC100380699,ENSSSAG00000053727,25218
LOC100380700,ENSSSAG00000076053,34046
LOC100380702,ENSSSAG00000039159,5398
LOC100380703,ENSSSAG00000060269,9959
LOC100380704,ENSSSAG00000047429,39860
LOC100380705,ENSSSAG00000041540,19396
LOC100380708,ENSSSAG00000042404,8154
LOC100380709,ENSSSAG00000050088,6294
LOC100380713,ENSSSAG00000009240,10262
LOC100380715,ENSSSAG00000052551,10241
LOC100380717,ENSSSAG00000039557,11677
LOC100380719,ENSSSAG00000066180,13933
LOC100380720,ENSSSAG00000070500,18860
LOC100380721,ENSSSAG00000077478,26388
LOC100380722,ENSSSAG00000039795,100466
LOC100380727,ENSSSAG00000048260,17922
LOC100380729,ENSSSAG00000026891,319067
LOC100380730,ENSSSAG00000061261,33644
LOC100380733,ENSSSAG00000077630,6044
LOC100380734,ENSSSAG00000063620,16423
LOC100380738,ENSSSAG00000005355,18812
LOC100380740,ENSSSAG00000040771,6192
LOC100380741,ENSSSAG00000063844,117880
LOC100380744,ENSSSAG00000024966,10512
LOC100380745,ENSSSAG00000008072,72911
LOC100380746,ENSSSAG00000064701,58328
LOC100380747,ENSSSAG00000069935,27250
LOC100380749,ENSSSAG00000070523,23259
LOC100380751,ENSSSAG00000069292,50099
LOC100380752,ENSSSAG00000073931,117561
LOC100380753,ENSSSAG00000075057,32254
LOC100380754,ENSSSAG00000001928,22125
LOC100380755,ENSSSAG00000043615,305221
LOC100380757,ENSSSAG00000057994,9346
LOC100380761,ENSSSAG00000003342,118367
LOC100380762,ENSSSAG00000056157,14382
LOC100380764,ENSSSAG00000106917,14833
LOC100380766,ENSSSAG00000055854,5453
LOC100380767,ENSSSAG00000046935,61069
LOC100380768,ENSSSAG00000045637,58808
LOC100380769,ENSSSAG00000074873,20681
LOC100380770,ENSSSAG00000001230,15671
LOC100380771,ENSSSAG00000093981,24035
LOC100380772,ENSSSAG00000042884,16186
LOC100380774,ENSSSAG00000004041,22958
LOC100380775,ENSSSAG00000100756,11628
LOC100380778,ENSSSAG00000084788,3195
LOC100380779,ENSSSAG00000078999,111983
LOC100380781,ENSSSAG00000099728,5779
LOC100380782,ENSSSAG00000042221,23358
LOC100380787,ENSSSAG00000021588,26166
LOC100380795,ENSSSAG00000078688,5908
LOC100380799,ENSSSAG00000043481,6099
LOC100380809,ENSSSAG00000002525,10173
LOC100380819,ENSSSAG00000069654,7285
LOC100380837,ENSSSAG00000098561,1809
LOC100380848,ENSSSAG00000040088,36424
LOC100380850,ENSSSAG00000106832,87681
LOC100380851,ENSSSAG00000003134,26145
LOC100380852,ENSSSAG00000065057,83273
LOC100380853,ENSSSAG00000109879,3356
LOC100380854,ENSSSAG00000008344,47818
LOC100380855,ENSSSAG00000073927,18018
LOC100380856,ENSSSAG00000068569,136770
LOC100380857,ENSSSAG00000064220,15151
LOC100380858,ENSSSAG00000010304,356003
LOC100380859,ENSSSAG00000001877,11486
LOC100380860,ENSSSAG00000081423,21360
LOC100380861,ENSSSAG00000045442,28560
LOC100380862,ENSSSAG00000023806,24092
LOC100380863,ENSSSAG00000080374,30159
LOC100380864,ENSSSAG00000002391,7216
LOC100380866,ENSSSAG00000001355,11866
LOC100380867,ENSSSAG00000067620,43080
