name,ensembl_gene_id
ensembl_B,ENSSSAG00000097206
ensembl_A,ENSSSAG00000058926
ensembl_B,ENSSSAG00000010140
ensembl_A,ENSSSAG00000080111
ensembl_B,ENSSSAG00000004878
ensembl_A,ENSSSAG00000006720
ensembl_B,ENSSSAG00000065899
ensembl_A,ENSSSAG00000076721
ensembl_B,ENSSSAG00000058580
ensembl_A,ENSSSAG00000078399
ensembl_B,ENSSSAG00000105793
ensembl_A,ENSSSAG00000104050
ensembl_B,ENSSSAG00000064115
ensembl_A,ENSSSAG00000051173
ensembl_B,ENSSSAG00000078845
ensembl_A,ENSSSAG00000007422
ensembl_B,ENSSSAG00000079639
ensembl_A,ENSSSAG00000080772
ensembl_B,ENSSSAG00000079616
ensembl_A,ENSSSAG00000053108
ensembl_B,ENSSSAG00000079607
ensembl_A,ENSSSAG00000039537
ensembl_B,ENSSSAG00000082709
ensembl_A,ENSSSAG00000074584
ensembl_B,ENSSSAG00000079511
ensembl_A,ENSSSAG00000003293
ensembl_B,ENSSSAG00000009161
ensembl_A,ENSSSAG00000085784
ensembl_B,ENSSSAG00000009198
ensembl_A,ENSSSAG00000067593
ensembl_B,ENSSSAG00000050899
ensembl_A,ENSSSAG00000112885
ensembl_B,ENSSSAG00000043708
ensembl_A,ENSSSAG00000043938
ensembl_B,ENSSSAG00000112316
ensembl_A,ENSSSAG00000075023
ensembl_B,ENSSSAG00000051547
ensembl_A,ENSSSAG00000068344
ensembl_B,ENSSSAG00000102804
ensembl_A,ENSSSAG00000073285
ensembl_B,ENSSSAG00000085997
ensembl_A,ENSSSAG00000059480
ensembl_B,ENSSSAG00000054398
ensembl_A,ENSSSAG00000095391
ensembl_B,ENSSSAG00000094600
ensembl_A,ENSSSAG00000066401
ensembl_B,ENSSSAG00000072800
ensembl_A,ENSSSAG00000077749
ensembl_B,ENSSSAG00000087093
ensembl_A,ENSSSAG00000075988
ensembl_B,ENSSSAG00000088607
ensembl_A,ENSSSAG00000003147
ensembl_B,ENSSSAG00000005927
ensembl_A,ENSSSAG00000096833
ensembl_B,ENSSSAG00000005942
ensembl_A,ENSSSAG00000043976
ensembl_B,ENSSSAG00000088022
ensembl_A,ENSSSAG00000003044
ensembl_B,ENSSSAG00000056162
ensembl_A,ENSSSAG00000105847
ensembl_B,ENSSSAG00000041242
ensembl_A,ENSSSAG00000046197
ensembl_B,ENSSSAG00000004728
ensembl_A,ENSSSAG00000044910
ensembl_B,ENSSSAG00000109906
ensembl_A,ENSSSAG00000080449
ensembl_B,ENSSSAG00000025098
ensembl_A,ENSSSAG00000104786
ensembl_B,ENSSSAG00000042768
ensembl_A,ENSSSAG00000068864
ensembl_B,ENSSSAG00000101194
ensembl_A,ENSSSAG00000066386
ensembl_B,ENSSSAG00000102137
ensembl_A,ENSSSAG00000074806
ensembl_B,ENSSSAG00000117480
ensembl_A,ENSSSAG00000054353
ensembl_B,ENSSSAG00000079317
ensembl_A,ENSSSAG00000048719
ensembl_B,ENSSSAG00000039611
ensembl_A,ENSSSAG00000052109
ensembl_B,ENSSSAG00000080464
ensembl_A,ENSSSAG00000070419
ensembl_B,ENSSSAG00000112958
ensembl_A,ENSSSAG00000074735
ensembl_B,ENSSSAG00000102221
ensembl_A,ENSSSAG00000057134
ensembl_B,ENSSSAG00000111604
ensembl_A,ENSSSAG00000118939
ensembl_B,ENSSSAG00000029308
ensembl_A,ENSSSAG00000057150
ensembl_B,ENSSSAG00000077524
ensembl_A,ENSSSAG00000068423
ensembl_B,ENSSSAG00000055494
ensembl_A,ENSSSAG00000043626
ensembl_B,ENSSSAG00000054817
ensembl_A,ENSSSAG00000004282
ensembl_B,ENSSSAG00000052157
ensembl_A,ENSSSAG00000074627
ensembl_B,ENSSSAG00000052077
ensembl_A,ENSSSAG00000067458
ensembl_B,ENSSSAG00000101380
ensembl_A,ENSSSAG00000065498
ensembl_B,ENSSSAG00000080077
ensembl_A,ENSSSAG00000121196
ensembl_B,ENSSSAG00000107178
ensembl_A,ENSSSAG00000091974
ensembl_B,ENSSSAG00000081413
ensembl_A,ENSSSAG00000081575
ensembl_B,ENSSSAG00000046211
ensembl_A,ENSSSAG00000045443
ensembl_B,ENSSSAG00000038613
ensembl_A,ENSSSAG00000005332
ensembl_B,ENSSSAG00000102839
ensembl_A,ENSSSAG00000054703
ensembl_B,ENSSSAG00000045642
ensembl_A,ENSSSAG00000076092
ensembl_B,ENSSSAG00000033446
ensembl_A,ENSSSAG00000069123
ensembl_B,ENSSSAG00000081527
ensembl_A,ENSSSAG00000070146
ensembl_B,ENSSSAG00000062934
ensembl_A,ENSSSAG00000085845
ensembl_B,ENSSSAG00000006411
ensembl_A,ENSSSAG00000069229
ensembl_B,ENSSSAG00000005926
ensembl_A,ENSSSAG00000068032
ensembl_B,ENSSSAG00000091939
ensembl_A,ENSSSAG00000001893
ensembl_B,ENSSSAG00000050806
ensembl_A,ENSSSAG00000065204
ensembl_B,ENSSSAG00000121337
ensembl_A,ENSSSAG00000006401
ensembl_B,ENSSSAG00000110899
ensembl_A,ENSSSAG00000116344
ensembl_B,ENSSSAG00000006710
ensembl_A,ENSSSAG00000104706
ensembl_B,ENSSSAG00000006736
ensembl_A,ENSSSAG00000007234
ensembl_B,ENSSSAG00000077813
ensembl_A,ENSSSAG00000006292
ensembl_B,ENSSSAG00000004351
ensembl_A,ENSSSAG00000070559
ensembl_A,ENSSSAG00000096290
ensembl_B,ENSSSAG00000009706
ensembl_A,ENSSSAG00000075597
ensembl_B,ENSSSAG00000044624
ensembl_A,ENSSSAG00000009314
ensembl_B,ENSSSAG00000103819
ensembl_A,ENSSSAG00000002458
ensembl_B,ENSSSAG00000108187
ensembl_A,ENSSSAG00000073649
ensembl_B,ENSSSAG00000065087
ensembl_A,ENSSSAG00000120772
ensembl_B,ENSSSAG00000062736
ensembl_A,ENSSSAG00000006178
ensembl_B,ENSSSAG00000065788
ensembl_A,ENSSSAG00000002479
ensembl_B,ENSSSAG00000111663
ensembl_A,ENSSSAG00000006550
ensembl_B,ENSSSAG00000068114
ensembl_A,ENSSSAG00000063819
ensembl_B,ENSSSAG00000089647
ensembl_A,ENSSSAG00000088298
ensembl_B,ENSSSAG00000114537
ensembl_A,ENSSSAG00000081302
ensembl_B,ENSSSAG00000118365
ensembl_A,ENSSSAG00000043048
ensembl_B,ENSSSAG00000121993
ensembl_A,ENSSSAG00000005497
ensembl_B,ENSSSAG00000114100
ensembl_A,ENSSSAG00000114928
ensembl_B,ENSSSAG00000002555
ensembl_A,ENSSSAG00000005634
ensembl_B,ENSSSAG00000006091
ensembl_A,ENSSSAG00000100057
ensembl_B,ENSSSAG00000093126
ensembl_A,ENSSSAG00000071238
ensembl_B,ENSSSAG00000076852
ensembl_A,ENSSSAG00000074502
ensembl_B,ENSSSAG00000076659
ensembl_A,ENSSSAG00000002809
ensembl_B,ENSSSAG00000065582
ensembl_A,ENSSSAG00000069956
ensembl_B,ENSSSAG00000008547
ensembl_A,ENSSSAG00000056895
ensembl_B,ENSSSAG00000073297
ensembl_A,ENSSSAG00000005162
ensembl_B,ENSSSAG00000100544
ensembl_A,ENSSSAG00000081193
ensembl_B,ENSSSAG00000099063
ensembl_A,ENSSSAG00000074382
ensembl_B,ENSSSAG00000068076
ensembl_A,ENSSSAG00000068354
ensembl_B,ENSSSAG00000104632
ensembl_A,ENSSSAG00000025431
ensembl_B,ENSSSAG00000096550
ensembl_A,ENSSSAG00000065275
ensembl_B,ENSSSAG00000054105
ensembl_A,ENSSSAG00000118009
ensembl_B,ENSSSAG00000088675
ensembl_A,ENSSSAG00000076293
ensembl_B,ENSSSAG00000015918
ensembl_A,ENSSSAG00000039009
ensembl_B,ENSSSAG00000085019
ensembl_A,ENSSSAG00000002699
ensembl_B,ENSSSAG00000080424
ensembl_A,ENSSSAG00000008256
ensembl_B,ENSSSAG00000080412
ensembl_A,ENSSSAG00000073880
ensembl_B,ENSSSAG00000057100
ensembl_A,ENSSSAG00000005353
ensembl_B,ENSSSAG00000105032
ensembl_A,ENSSSAG00000065380
ensembl_B,ENSSSAG00000094572
ensembl_A,ENSSSAG00000109715
ensembl_B,ENSSSAG00000007556
ensembl_A,ENSSSAG00000048993
ensembl_B,ENSSSAG00000006546
ensembl_A,ENSSSAG00000073014
ensembl_B,ENSSSAG00000111968
ensembl_A,ENSSSAG00000064525
ensembl_B,ENSSSAG00000004500
ensembl_A,ENSSSAG00000055545
ensembl_B,ENSSSAG00000103102
ensembl_A,ENSSSAG00000046686
ensembl_B,ENSSSAG00000079977
ensembl_A,ENSSSAG00000004982
ensembl_B,ENSSSAG00000081081
ensembl_A,ENSSSAG00000082290
ensembl_B,ENSSSAG00000085297
ensembl_A,ENSSSAG00000043512
ensembl_B,ENSSSAG00000042258
ensembl_A,ENSSSAG00000055817
ensembl_B,ENSSSAG00000053584
ensembl_A,ENSSSAG00000121221
ensembl_B,ENSSSAG00000086753
ensembl_A,ENSSSAG00000071557
ensembl_B,ENSSSAG00000054710
ensembl_A,ENSSSAG00000008716
ensembl_B,ENSSSAG00000066258
ensembl_A,ENSSSAG00000110197
ensembl_B,ENSSSAG00000048018
ensembl_A,ENSSSAG00000113405
ensembl_B,ENSSSAG00000066669
ensembl_A,ENSSSAG00000044611
ensembl_B,ENSSSAG00000066751
ensembl_A,ENSSSAG00000077917
ensembl_B,ENSSSAG00000069809
ensembl_A,ENSSSAG00000052071
ensembl_B,ENSSSAG00000091331
ensembl_A,ENSSSAG00000053452
ensembl_B,ENSSSAG00000085110
ensembl_A,ENSSSAG00000041899
ensembl_B,ENSSSAG00000054229
ensembl_A,ENSSSAG00000103261
ensembl_B,ENSSSAG00000092123
ensembl_A,ENSSSAG00000069490
ensembl_B,ENSSSAG00000087813
ensembl_A,ENSSSAG00000112091
ensembl_B,ENSSSAG00000084657
ensembl_A,ENSSSAG00000081599
ensembl_B,ENSSSAG00000079810
ensembl_A,ENSSSAG00000051296
ensembl_B,ENSSSAG00000067088
ensembl_A,ENSSSAG00000092074
ensembl_B,ENSSSAG00000114629
ensembl_A,ENSSSAG00000095640
ensembl_B,ENSSSAG00000038376
ensembl_A,ENSSSAG00000008312
ensembl_B,ENSSSAG00000104980
ensembl_A,ENSSSAG00000118712
ensembl_B,ENSSSAG00000076797
ensembl_A,ENSSSAG00000083222
ensembl_B,ENSSSAG00000083486
ensembl_A,ENSSSAG00000073979
ensembl_B,ENSSSAG00000118889
ensembl_A,ENSSSAG00000073617
ensembl_B,ENSSSAG00000112784
ensembl_A,ENSSSAG00000058719
ensembl_B,ENSSSAG00000118265
ensembl_A,ENSSSAG00000074154
ensembl_B,ENSSSAG00000116454
ensembl_A,ENSSSAG00000076633
ensembl_B,ENSSSAG00000004998
ensembl_A,ENSSSAG00000066796
ensembl_B,ENSSSAG00000079996
ensembl_A,ENSSSAG00000080229
ensembl_B,ENSSSAG00000066460
ensembl_A,ENSSSAG00000003207
ensembl_B,ENSSSAG00000097047
ensembl_A,ENSSSAG00000067826
ensembl_B,ENSSSAG00000106677
ensembl_A,ENSSSAG00000114578
ensembl_B,ENSSSAG00000006413
ensembl_A,ENSSSAG00000052781
ensembl_B,ENSSSAG00000004198
ensembl_A,ENSSSAG00000113398
ensembl_B,ENSSSAG00000004175
ensembl_A,ENSSSAG00000089264
ensembl_B,ENSSSAG00000077051
ensembl_A,ENSSSAG00000003931
ensembl_B,ENSSSAG00000087713
ensembl_A,ENSSSAG00000067942
ensembl_B,ENSSSAG00000094855
ensembl_A,ENSSSAG00000047181
ensembl_B,ENSSSAG00000042632
ensembl_A,ENSSSAG00000079465
ensembl_B,ENSSSAG00000064683
ensembl_A,ENSSSAG00000080157
ensembl_B,ENSSSAG00000039974
ensembl_A,ENSSSAG00000074204
ensembl_B,ENSSSAG00000090594
ensembl_A,ENSSSAG00000070233
ensembl_B,ENSSSAG00000031237
ensembl_A,ENSSSAG00000073470
ensembl_B,ENSSSAG00000088360
ensembl_A,ENSSSAG00000075678
ensembl_B,ENSSSAG00000015735
ensembl_A,ENSSSAG00000000328
ensembl_B,ENSSSAG00000005784
ensembl_A,ENSSSAG00000089795
ensembl_B,ENSSSAG00000012748
ensembl_A,ENSSSAG00000063387
ensembl_B,ENSSSAG00000083746
ensembl_A,ENSSSAG00000054954
ensembl_B,ENSSSAG00000040344
ensembl_A,ENSSSAG00000065214
ensembl_B,ENSSSAG00000080620
ensembl_A,ENSSSAG00000089464
ensembl_B,ENSSSAG00000099605
ensembl_A,ENSSSAG00000015350
ensembl_B,ENSSSAG00000056569
ensembl_A,ENSSSAG00000089707
ensembl_B,ENSSSAG00000086639
ensembl_A,ENSSSAG00000000544
ensembl_B,ENSSSAG00000099913
ensembl_A,ENSSSAG00000067328
ensembl_B,ENSSSAG00000063608
ensembl_A,ENSSSAG00000005871
ensembl_B,ENSSSAG00000063601
ensembl_A,ENSSSAG00000077892
ensembl_B,ENSSSAG00000052796
ensembl_A,ENSSSAG00000078055
ensembl_B,ENSSSAG00000072601
ensembl_A,ENSSSAG00000068390
ensembl_B,ENSSSAG00000077170
ensembl_A,ENSSSAG00000049002
ensembl_B,ENSSSAG00000048169
ensembl_A,ENSSSAG00000004119
ensembl_B,ENSSSAG00000031885
ensembl_A,ENSSSAG00000080757
ensembl_B,ENSSSAG00000101866
ensembl_A,ENSSSAG00000109272
ensembl_B,ENSSSAG00000093227
ensembl_A,ENSSSAG00000064334
ensembl_B,ENSSSAG00000079145
ensembl_A,ENSSSAG00000081530
ensembl_B,ENSSSAG00000078423
ensembl_A,ENSSSAG00000063430
ensembl_A,ENSSSAG00000070790
ensembl_B,ENSSSAG00000068577
ensembl_A,ENSSSAG00000122198
ensembl_B,ENSSSAG00000068533
ensembl_A,ENSSSAG00000042281
ensembl_B,ENSSSAG00000068520
ensembl_A,ENSSSAG00000119880
ensembl_B,ENSSSAG00000049367
ensembl_A,ENSSSAG00000002521
ensembl_B,ENSSSAG00000004749
ensembl_A,ENSSSAG00000094393
ensembl_B,ENSSSAG00000068495
ensembl_A,ENSSSAG00000010079
ensembl_B,ENSSSAG00000091903
ensembl_A,ENSSSAG00000043478
ensembl_B,ENSSSAG00000119432
ensembl_A,ENSSSAG00000108474
ensembl_B,ENSSSAG00000044979
ensembl_A,ENSSSAG00000117363
ensembl_B,ENSSSAG00000076961
ensembl_A,ENSSSAG00000005455
ensembl_B,ENSSSAG00000075207
ensembl_A,ENSSSAG00000045132
ensembl_B,ENSSSAG00000069519
ensembl_A,ENSSSAG00000006557
ensembl_B,ENSSSAG00000100340
ensembl_A,ENSSSAG00000113917
ensembl_B,ENSSSAG00000038671
ensembl_A,ENSSSAG00000001285
ensembl_B,ENSSSAG00000093986
ensembl_A,ENSSSAG00000054894
ensembl_B,ENSSSAG00000077798
ensembl_A,ENSSSAG00000008591
ensembl_B,ENSSSAG00000072012
ensembl_A,ENSSSAG00000091743
ensembl_B,ENSSSAG00000064254
ensembl_A,ENSSSAG00000086327
ensembl_B,ENSSSAG00000073303
ensembl_A,ENSSSAG00000016231
ensembl_B,ENSSSAG00000099367
ensembl_A,ENSSSAG00000008705
ensembl_B,ENSSSAG00000039025
ensembl_A,ENSSSAG00000008212
ensembl_B,ENSSSAG00000039238
ensembl_A,ENSSSAG00000047800
ensembl_B,ENSSSAG00000050780
ensembl_A,ENSSSAG00000047834
ensembl_B,ENSSSAG00000068612
ensembl_A,ENSSSAG00000054429
ensembl_B,ENSSSAG00000077591
ensembl_A,ENSSSAG00000000894
ensembl_B,ENSSSAG00000077771
ensembl_A,ENSSSAG00000017684
ensembl_B,ENSSSAG00000077818
ensembl_A,ENSSSAG00000009220
ensembl_B,ENSSSAG00000089425
ensembl_A,ENSSSAG00000040517
ensembl_B,ENSSSAG00000071781
ensembl_A,ENSSSAG00000064027
ensembl_B,ENSSSAG00000082184
ensembl_A,ENSSSAG00000030907
ensembl_B,ENSSSAG00000050865
ensembl_A,ENSSSAG00000070226
ensembl_B,ENSSSAG00000115927
ensembl_A,ENSSSAG00000122043
ensembl_B,ENSSSAG00000064013
ensembl_A,ENSSSAG00000046779
ensembl_B,ENSSSAG00000073488
ensembl_A,ENSSSAG00000091187
ensembl_B,ENSSSAG00000117467
ensembl_A,ENSSSAG00000079304
ensembl_B,ENSSSAG00000091442
ensembl_A,ENSSSAG00000009170
ensembl_B,ENSSSAG00000065647
ensembl_A,ENSSSAG00000109421
ensembl_B,ENSSSAG00000068745
ensembl_A,ENSSSAG00000073627
ensembl_B,ENSSSAG00000064527
ensembl_A,ENSSSAG00000015810
ensembl_B,ENSSSAG00000054876
ensembl_A,ENSSSAG00000072470
ensembl_B,ENSSSAG00000108982
ensembl_A,ENSSSAG00000075238
ensembl_B,ENSSSAG00000090070
ensembl_A,ENSSSAG00000067639
ensembl_B,ENSSSAG00000118145
ensembl_A,ENSSSAG00000041446
ensembl_B,ENSSSAG00000089280
ensembl_A,ENSSSAG00000066172
ensembl_B,ENSSSAG00000101698
ensembl_A,ENSSSAG00000094827
ensembl_B,ENSSSAG00000080001
ensembl_A,ENSSSAG00000001705
ensembl_B,ENSSSAG00000080322
ensembl_A,ENSSSAG00000065442
ensembl_B,ENSSSAG00000055507
ensembl_A,ENSSSAG00000078773
ensembl_B,ENSSSAG00000011048
ensembl_A,ENSSSAG00000004008
ensembl_B,ENSSSAG00000015815
ensembl_A,ENSSSAG00000074168
ensembl_B,ENSSSAG00000050998
ensembl_A,ENSSSAG00000042879
ensembl_B,ENSSSAG00000062833
ensembl_A,ENSSSAG00000005224
ensembl_B,ENSSSAG00000098393
ensembl_A,ENSSSAG00000102866
ensembl_B,ENSSSAG00000068026
ensembl_A,ENSSSAG00000066811
ensembl_B,ENSSSAG00000074951
ensembl_A,ENSSSAG00000082668
ensembl_B,ENSSSAG00000072780
ensembl_A,ENSSSAG00000063247
ensembl_B,ENSSSAG00000095612
ensembl_A,ENSSSAG00000044898
ensembl_B,ENSSSAG00000051861
ensembl_A,ENSSSAG00000039050
ensembl_B,ENSSSAG00000049241
ensembl_A,ENSSSAG00000081424
ensembl_B,ENSSSAG00000040895
ensembl_A,ENSSSAG00000008699
ensembl_B,ENSSSAG00000040669
ensembl_A,ENSSSAG00000074070
ensembl_B,ENSSSAG00000090245
ensembl_A,ENSSSAG00000041411
ensembl_B,ENSSSAG00000078015
ensembl_A,ENSSSAG00000000766
ensembl_B,ENSSSAG00000077325
ensembl_A,ENSSSAG00000046804
ensembl_A,ENSSSAG00000049723
ensembl_B,ENSSSAG00000077284
ensembl_A,ENSSSAG00000043588
ensembl_B,ENSSSAG00000117445
ensembl_A,ENSSSAG00000000172
ensembl_B,ENSSSAG00000042798
ensembl_A,ENSSSAG00000078641
ensembl_B,ENSSSAG00000097850
ensembl_A,ENSSSAG00000043507
ensembl_B,ENSSSAG00000103206
ensembl_A,ENSSSAG00000104034
ensembl_B,ENSSSAG00000117293
ensembl_A,ENSSSAG00000080526
ensembl_B,ENSSSAG00000054301
ensembl_A,ENSSSAG00000065516
ensembl_B,ENSSSAG00000108399
ensembl_A,ENSSSAG00000094435
ensembl_B,ENSSSAG00000080063
ensembl_A,ENSSSAG00000077005
ensembl_B,ENSSSAG00000112402
ensembl_A,ENSSSAG00000004765
ensembl_B,ENSSSAG00000079105
ensembl_A,ENSSSAG00000003535
ensembl_B,ENSSSAG00000005551
ensembl_B,ENSSSAG00000109130
ensembl_A,ENSSSAG00000072855
ensembl_B,ENSSSAG00000074492
ensembl_A,ENSSSAG00000032297
ensembl_B,ENSSSAG00000055531
ensembl_A,ENSSSAG00000053736
ensembl_B,ENSSSAG00000029317
ensembl_A,ENSSSAG00000100066
ensembl_B,ENSSSAG00000047252
ensembl_A,ENSSSAG00000122223
ensembl_B,ENSSSAG00000120245
ensembl_A,ENSSSAG00000057321
ensembl_B,ENSSSAG00000076717
ensembl_A,ENSSSAG00000068465
ensembl_B,ENSSSAG00000065642
ensembl_A,ENSSSAG00000006920
ensembl_B,ENSSSAG00000110223
ensembl_A,ENSSSAG00000007056
ensembl_B,ENSSSAG00000079426
ensembl_A,ENSSSAG00000105377
ensembl_B,ENSSSAG00000093675
ensembl_A,ENSSSAG00000117654
ensembl_B,ENSSSAG00000043149
ensembl_A,ENSSSAG00000052450
ensembl_B,ENSSSAG00000110019
ensembl_A,ENSSSAG00000096896
ensembl_B,ENSSSAG00000002781
ensembl_A,ENSSSAG00000049094
ensembl_B,ENSSSAG00000002639
ensembl_A,ENSSSAG00000052831
ensembl_B,ENSSSAG00000005903
ensembl_A,ENSSSAG00000065276
ensembl_B,ENSSSAG00000121553
ensembl_A,ENSSSAG00000057905
ensembl_B,ENSSSAG00000097128
ensembl_A,ENSSSAG00000015852
ensembl_B,ENSSSAG00000095691
ensembl_A,ENSSSAG00000055627
ensembl_B,ENSSSAG00000039396
ensembl_A,ENSSSAG00000078332
ensembl_B,ENSSSAG00000100885
ensembl_A,ENSSSAG00000111720
ensembl_B,ENSSSAG00000067873
ensembl_A,ENSSSAG00000039596
ensembl_B,ENSSSAG00000005764
ensembl_A,ENSSSAG00000093840
ensembl_B,ENSSSAG00000087363
ensembl_A,ENSSSAG00000038451
ensembl_B,ENSSSAG00000004981
ensembl_A,ENSSSAG00000056679
ensembl_B,ENSSSAG00000005646
ensembl_A,ENSSSAG00000075568
ensembl_B,ENSSSAG00000101880
ensembl_A,ENSSSAG00000116713
ensembl_B,ENSSSAG00000009871
ensembl_A,ENSSSAG00000108707
ensembl_A,ENSSSAG00000007643
ensembl_B,ENSSSAG00000047602
ensembl_A,ENSSSAG00000078607
ensembl_B,ENSSSAG00000065449
ensembl_A,ENSSSAG00000093997
ensembl_B,ENSSSAG00000013052
ensembl_A,ENSSSAG00000081753
ensembl_B,ENSSSAG00000057049
ensembl_A,ENSSSAG00000075790
ensembl_B,ENSSSAG00000058399
ensembl_A,ENSSSAG00000056346
ensembl_B,ENSSSAG00000015900
ensembl_A,ENSSSAG00000072159
ensembl_B,ENSSSAG00000041431
ensembl_A,ENSSSAG00000107705
ensembl_B,ENSSSAG00000046390
ensembl_A,ENSSSAG00000114390
ensembl_B,ENSSSAG00000085361
ensembl_A,ENSSSAG00000081630
ensembl_B,ENSSSAG00000087382
ensembl_A,ENSSSAG00000080334
ensembl_B,ENSSSAG00000050005
ensembl_A,ENSSSAG00000055833
ensembl_B,ENSSSAG00000041621
ensembl_A,ENSSSAG00000001003
ensembl_B,ENSSSAG00000113179
ensembl_A,ENSSSAG00000052850
ensembl_B,ENSSSAG00000045280
ensembl_A,ENSSSAG00000105530
ensembl_B,ENSSSAG00000045422
ensembl_A,ENSSSAG00000077598
ensembl_B,ENSSSAG00000042618
ensembl_A,ENSSSAG00000106778
ensembl_B,ENSSSAG00000073808
ensembl_A,ENSSSAG00000071378
ensembl_B,ENSSSAG00000039347
ensembl_A,ENSSSAG00000066735
ensembl_B,ENSSSAG00000044988
