ensembl_A,ensembl_B
ENSSSAG00000044910,ENSSSAG00000109906
ENSSSAG00000080449,ENSSSAG00000025098
ENSSSAG00000104786,ENSSSAG00000042768
ENSSSAG00000068864,ENSSSAG00000101194
ENSSSAG00000066386,ENSSSAG00000102137
ENSSSAG00000074806,ENSSSAG00000117480
ENSSSAG00000054353,ENSSSAG00000079317
ENSSSAG00000048719,ENSSSAG00000039611
ENSSSAG00000052109,ENSSSAG00000080464
ENSSSAG00000070419,ENSSSAG00000112958
ENSSSAG00000074735,ENSSSAG00000102221
ENSSSAG00000057134,ENSSSAG00000111604
ENSSSAG00000118939,ENSSSAG00000029308
ENSSSAG00000057150,ENSSSAG00000077524
ENSSSAG00000068423,ENSSSAG00000055494
ENSSSAG00000043626,ENSSSAG00000054817
ENSSSAG00000004282,ENSSSAG00000052157
ENSSSAG00000074627,ENSSSAG00000052077
ENSSSAG00000067458,ENSSSAG00000101380
ENSSSAG00000065498,ENSSSAG00000080077
ENSSSAG00000121196,ENSSSAG00000107178
ENSSSAG00000091974,ENSSSAG00000081413
ENSSSAG00000081575,ENSSSAG00000046211
ENSSSAG00000045443,ENSSSAG00000038613
ENSSSAG00000005332,ENSSSAG00000102839
ENSSSAG00000054703,ENSSSAG00000045642
ENSSSAG00000076092,ENSSSAG00000033446
ENSSSAG00000069123,ENSSSAG00000081527
ENSSSAG00000070146,ENSSSAG00000062934
ENSSSAG00000085845,ENSSSAG00000006411
ENSSSAG00000069229,ENSSSAG00000005926
ENSSSAG00000068032,ENSSSAG00000091939
ENSSSAG00000001893,ENSSSAG00000050806
ENSSSAG00000065204,ENSSSAG00000121337
ENSSSAG00000006401,ENSSSAG00000110899
ENSSSAG00000116344,ENSSSAG00000006710
ENSSSAG00000104706,ENSSSAG00000006736
ENSSSAG00000007234,ENSSSAG00000077813
ENSSSAG00000006292,ENSSSAG00000004351
ENSSSAG00000070559,ENSSSAG00000004351
ENSSSAG00000096290,ENSSSAG00000009706
ENSSSAG00000075597,ENSSSAG00000044624
ENSSSAG00000009314,ENSSSAG00000103819
ENSSSAG00000002458,ENSSSAG00000108187
ENSSSAG00000073649,ENSSSAG00000065087
ENSSSAG00000120772,ENSSSAG00000062736
ENSSSAG00000006178,ENSSSAG00000065788
ENSSSAG00000002479,ENSSSAG00000111663
ENSSSAG00000006550,ENSSSAG00000068114
ENSSSAG00000063819,ENSSSAG00000089647
ENSSSAG00000088298,ENSSSAG00000114537
ENSSSAG00000081302,ENSSSAG00000118365
ENSSSAG00000043048,ENSSSAG00000121993
ENSSSAG00000005497,ENSSSAG00000114100
ENSSSAG00000114928,ENSSSAG00000002555
ENSSSAG00000005634,ENSSSAG00000006091
ENSSSAG00000100057,ENSSSAG00000093126
ENSSSAG00000071238,ENSSSAG00000076852
ENSSSAG00000074502,ENSSSAG00000076659
ENSSSAG00000002809,ENSSSAG00000065582
ENSSSAG00000069956,ENSSSAG00000008547
ENSSSAG00000056895,ENSSSAG00000073297
ENSSSAG00000005162,ENSSSAG00000100544
ENSSSAG00000081193,ENSSSAG00000099063
ENSSSAG00000074382,ENSSSAG00000068076
ENSSSAG00000068354,ENSSSAG00000104632
ENSSSAG00000025431,ENSSSAG00000096550
ENSSSAG00000065275,ENSSSAG00000054105
ENSSSAG00000118009,ENSSSAG00000088675
ENSSSAG00000076293,ENSSSAG00000015918
ENSSSAG00000039009,ENSSSAG00000085019
ENSSSAG00000002699,ENSSSAG00000080424
ENSSSAG00000008256,ENSSSAG00000080412
ENSSSAG00000073880,ENSSSAG00000057100
ENSSSAG00000005353,ENSSSAG00000105032
ENSSSAG00000065380,ENSSSAG00000094572
ENSSSAG00000109715,ENSSSAG00000007556
ENSSSAG00000048993,ENSSSAG00000006546
ENSSSAG00000073014,ENSSSAG00000111968
ENSSSAG00000064525,ENSSSAG00000004500
ENSSSAG00000055545,ENSSSAG00000103102
ENSSSAG00000046686,ENSSSAG00000079977
ENSSSAG00000004982,ENSSSAG00000081081
ENSSSAG00000082290,ENSSSAG00000085297
ENSSSAG00000043512,ENSSSAG00000042258
ENSSSAG00000055817,ENSSSAG00000053584
ENSSSAG00000121221,ENSSSAG00000086753
ENSSSAG00000071557,ENSSSAG00000054710
ENSSSAG00000008716,ENSSSAG00000066258
ENSSSAG00000110197,ENSSSAG00000048018
ENSSSAG00000113405,ENSSSAG00000066669
ENSSSAG00000044611,ENSSSAG00000066751
ENSSSAG00000077917,ENSSSAG00000069809
ENSSSAG00000052071,ENSSSAG00000091331
ENSSSAG00000053452,ENSSSAG00000085110
ENSSSAG00000041899,ENSSSAG00000054229
ENSSSAG00000103261,ENSSSAG00000092123
ENSSSAG00000069490,ENSSSAG00000087813
ENSSSAG00000112091,ENSSSAG00000084657
ENSSSAG00000081599,ENSSSAG00000079810
ENSSSAG00000051296,ENSSSAG00000067088
ENSSSAG00000092074,ENSSSAG00000114629
ENSSSAG00000095640,ENSSSAG00000038376
ENSSSAG00000008312,ENSSSAG00000104980
ENSSSAG00000118712,ENSSSAG00000076797
ENSSSAG00000083222,ENSSSAG00000083486
ENSSSAG00000073979,ENSSSAG00000118889
ENSSSAG00000073617,ENSSSAG00000112784
ENSSSAG00000058719,ENSSSAG00000118265
ENSSSAG00000074154,ENSSSAG00000116454
ENSSSAG00000076633,ENSSSAG00000004998
ENSSSAG00000066796,ENSSSAG00000079996
ENSSSAG00000080229,ENSSSAG00000066460
ENSSSAG00000003207,ENSSSAG00000097047
ENSSSAG00000067826,ENSSSAG00000106677
ENSSSAG00000114578,ENSSSAG00000006413
ENSSSAG00000052781,ENSSSAG00000004198
ENSSSAG00000113398,ENSSSAG00000004175
ENSSSAG00000089264,ENSSSAG00000077051
ENSSSAG00000003931,ENSSSAG00000087713
ENSSSAG00000067942,ENSSSAG00000094855
ENSSSAG00000047181,ENSSSAG00000042632
ENSSSAG00000079465,ENSSSAG00000064683
ENSSSAG00000080157,ENSSSAG00000039974
ENSSSAG00000074204,ENSSSAG00000090594
ENSSSAG00000070233,ENSSSAG00000031237
ENSSSAG00000073470,ENSSSAG00000088360
ENSSSAG00000075678,ENSSSAG00000015735
ENSSSAG00000000328,ENSSSAG00000005784
ENSSSAG00000089795,ENSSSAG00000012748
ENSSSAG00000063387,ENSSSAG00000083746
ENSSSAG00000054954,ENSSSAG00000040344
ENSSSAG00000065214,ENSSSAG00000080620
ENSSSAG00000089464,ENSSSAG00000099605
ENSSSAG00000015350,ENSSSAG00000056569
ENSSSAG00000089707,ENSSSAG00000086639
ENSSSAG00000000544,ENSSSAG00000099913
ENSSSAG00000067328,ENSSSAG00000063608
ENSSSAG00000005871,ENSSSAG00000063601
ENSSSAG00000077892,ENSSSAG00000052796
ENSSSAG00000078055,ENSSSAG00000072601
ENSSSAG00000068390,ENSSSAG00000077170
ENSSSAG00000049002,ENSSSAG00000048169
ENSSSAG00000004119,ENSSSAG00000031885
ENSSSAG00000080757,ENSSSAG00000101866
ENSSSAG00000109272,ENSSSAG00000093227
ENSSSAG00000064334,ENSSSAG00000079145
ENSSSAG00000081530,ENSSSAG00000078423
ENSSSAG00000063430,ENSSSAG00000078423
ENSSSAG00000070790,ENSSSAG00000068577
ENSSSAG00000122198,ENSSSAG00000068533
ENSSSAG00000042281,ENSSSAG00000068520
ENSSSAG00000119880,ENSSSAG00000049367
ENSSSAG00000002521,ENSSSAG00000004749
ENSSSAG00000094393,ENSSSAG00000068495
ENSSSAG00000010079,ENSSSAG00000091903
ENSSSAG00000043478,ENSSSAG00000119432
ENSSSAG00000108474,ENSSSAG00000044979
ENSSSAG00000117363,ENSSSAG00000076961
ENSSSAG00000005455,ENSSSAG00000075207
ENSSSAG00000045132,ENSSSAG00000069519
ENSSSAG00000006557,ENSSSAG00000100340
ENSSSAG00000113917,ENSSSAG00000038671
ENSSSAG00000001285,ENSSSAG00000093986
ENSSSAG00000054894,ENSSSAG00000077798
ENSSSAG00000008591,ENSSSAG00000072012
ENSSSAG00000091743,ENSSSAG00000064254
ENSSSAG00000086327,ENSSSAG00000073303
ENSSSAG00000016231,ENSSSAG00000099367
ENSSSAG00000008705,ENSSSAG00000039025
ENSSSAG00000008212,ENSSSAG00000039238
ENSSSAG00000047800,ENSSSAG00000050780
ENSSSAG00000047834,ENSSSAG00000068612
ENSSSAG00000054429,ENSSSAG00000077591
ENSSSAG00000000894,ENSSSAG00000077771
ENSSSAG00000017684,ENSSSAG00000077818
ENSSSAG00000009220,ENSSSAG00000089425
ENSSSAG00000040517,ENSSSAG00000071781
ENSSSAG00000064027,ENSSSAG00000082184
ENSSSAG00000030907,ENSSSAG00000050865
ENSSSAG00000070226,ENSSSAG00000115927
ENSSSAG00000122043,ENSSSAG00000064013
ENSSSAG00000046779,ENSSSAG00000073488
ENSSSAG00000091187,ENSSSAG00000117467
ENSSSAG00000079304,ENSSSAG00000091442
ENSSSAG00000009170,ENSSSAG00000065647
ENSSSAG00000109421,ENSSSAG00000068745
ENSSSAG00000073627,ENSSSAG00000064527
ENSSSAG00000015810,ENSSSAG00000054876
ENSSSAG00000072470,ENSSSAG00000108982
ENSSSAG00000075238,ENSSSAG00000090070
ENSSSAG00000067639,ENSSSAG00000118145
ENSSSAG00000041446,ENSSSAG00000089280
ENSSSAG00000066172,ENSSSAG00000101698
ENSSSAG00000094827,ENSSSAG00000080001
ENSSSAG00000001705,ENSSSAG00000080322
ENSSSAG00000065442,ENSSSAG00000055507
ENSSSAG00000078773,ENSSSAG00000011048
ENSSSAG00000004008,ENSSSAG00000015815
ENSSSAG00000074168,ENSSSAG00000050998
ENSSSAG00000042879,ENSSSAG00000062833
ENSSSAG00000005224,ENSSSAG00000098393
ENSSSAG00000102866,ENSSSAG00000068026
ENSSSAG00000066811,ENSSSAG00000074951
ENSSSAG00000082668,ENSSSAG00000072780
ENSSSAG00000063247,ENSSSAG00000095612
ENSSSAG00000044898,ENSSSAG00000051861
ENSSSAG00000039050,ENSSSAG00000049241
ENSSSAG00000081424,ENSSSAG00000040895
ENSSSAG00000008699,ENSSSAG00000040669
ENSSSAG00000074070,ENSSSAG00000090245
ENSSSAG00000041411,ENSSSAG00000078015
ENSSSAG00000000766,ENSSSAG00000077325
ENSSSAG00000046804,ENSSSAG00000077325
ENSSSAG00000049723,ENSSSAG00000077284
ENSSSAG00000043588,ENSSSAG00000117445
ENSSSAG00000000172,ENSSSAG00000042798
ENSSSAG00000078641,ENSSSAG00000097850
ENSSSAG00000043507,ENSSSAG00000103206
ENSSSAG00000104034,ENSSSAG00000117293
ENSSSAG00000080526,ENSSSAG00000054301
ENSSSAG00000065516,ENSSSAG00000108399
ENSSSAG00000094435,ENSSSAG00000080063
ENSSSAG00000077005,ENSSSAG00000112402
ENSSSAG00000004765,ENSSSAG00000079105
ENSSSAG00000003535,ENSSSAG00000005551
ENSSSAG00000079304,ENSSSAG00000109130
ENSSSAG00000072855,ENSSSAG00000074492
ENSSSAG00000032297,ENSSSAG00000055531
ENSSSAG00000053736,ENSSSAG00000029317
ENSSSAG00000100066,ENSSSAG00000047252
ENSSSAG00000122223,ENSSSAG00000120245
ENSSSAG00000057321,ENSSSAG00000076717
ENSSSAG00000068465,ENSSSAG00000065642
ENSSSAG00000006920,ENSSSAG00000110223
ENSSSAG00000007056,ENSSSAG00000079426
ENSSSAG00000105377,ENSSSAG00000093675
ENSSSAG00000117654,ENSSSAG00000043149
ENSSSAG00000052450,ENSSSAG00000110019
ENSSSAG00000096896,ENSSSAG00000002781
ENSSSAG00000049094,ENSSSAG00000002639
ENSSSAG00000052831,ENSSSAG00000005903
ENSSSAG00000065276,ENSSSAG00000121553
ENSSSAG00000057905,ENSSSAG00000097128
ENSSSAG00000015852,ENSSSAG00000095691
ENSSSAG00000055627,ENSSSAG00000039396
ENSSSAG00000078332,ENSSSAG00000100885
ENSSSAG00000111720,ENSSSAG00000067873
ENSSSAG00000039596,ENSSSAG00000005764
ENSSSAG00000093840,ENSSSAG00000087363
ENSSSAG00000038451,ENSSSAG00000004981
ENSSSAG00000056679,ENSSSAG00000005646
ENSSSAG00000075568,ENSSSAG00000101880
ENSSSAG00000116713,ENSSSAG00000009871
ENSSSAG00000108707,ENSSSAG00000009871
ENSSSAG00000007643,ENSSSAG00000047602
ENSSSAG00000078607,ENSSSAG00000065449
ENSSSAG00000093997,ENSSSAG00000013052
ENSSSAG00000081753,ENSSSAG00000057049
ENSSSAG00000075790,ENSSSAG00000058399
ENSSSAG00000056346,ENSSSAG00000015900
ENSSSAG00000072159,ENSSSAG00000041431
ENSSSAG00000107705,ENSSSAG00000046390
ENSSSAG00000114390,ENSSSAG00000085361
ENSSSAG00000081630,ENSSSAG00000087382
ENSSSAG00000080334,ENSSSAG00000050005
ENSSSAG00000055833,ENSSSAG00000041621
ENSSSAG00000001003,ENSSSAG00000113179
ENSSSAG00000052850,ENSSSAG00000045280
ENSSSAG00000105530,ENSSSAG00000045422
ENSSSAG00000077598,ENSSSAG00000042618
ENSSSAG00000106778,ENSSSAG00000073808
ENSSSAG00000071378,ENSSSAG00000039347
ENSSSAG00000066735,ENSSSAG00000044988
ENSSSAG00000038975,ENSSSAG00000058050
ENSSSAG00000089264,ENSSSAG00000059365
ENSSSAG00000005365,ENSSSAG00000066717
ENSSSAG00000088742,ENSSSAG00000062440
ENSSSAG00000064961,ENSSSAG00000047965
ENSSSAG00000074738,ENSSSAG00000048014
ENSSSAG00000066781,ENSSSAG00000047878
ENSSSAG00000081519,ENSSSAG00000116544
ENSSSAG00000084452,ENSSSAG00000090794
ENSSSAG00000087000,ENSSSAG00000085502
ENSSSAG00000044707,ENSSSAG00000066617
ENSSSAG00000112402,ENSSSAG00000073482
ENSSSAG00000099780,ENSSSAG00000073534
ENSSSAG00000067170,ENSSSAG00000073254
ENSSSAG00000108736,ENSSSAG00000041056
ENSSSAG00000002535,ENSSSAG00000067187
ENSSSAG00000087746,ENSSSAG00000041128
ENSSSAG00000016736,ENSSSAG00000071571
ENSSSAG00000049640,ENSSSAG00000042905
ENSSSAG00000048030,ENSSSAG00000041651
ENSSSAG00000093448,ENSSSAG00000056166
ENSSSAG00000066490,ENSSSAG00000042830
ENSSSAG00000074550,ENSSSAG00000093215
ENSSSAG00000122213,ENSSSAG00000069341
ENSSSAG00000067347,ENSSSAG00000069970
ENSSSAG00000092776,ENSSSAG00000109100
ENSSSAG00000076899,ENSSSAG00000072221
ENSSSAG00000090164,ENSSSAG00000044921
ENSSSAG00000008290,ENSSSAG00000111597
ENSSSAG00000052029,ENSSSAG00000054419
ENSSSAG00000091193,ENSSSAG00000044530
ENSSSAG00000016312,ENSSSAG00000067476
ENSSSAG00000078817,ENSSSAG00000113520
ENSSSAG00000061432,ENSSSAG00000067647
ENSSSAG00000094379,ENSSSAG00000046257
ENSSSAG00000078647,ENSSSAG00000067704
ENSSSAG00000077977,ENSSSAG00000041575
ENSSSAG00000074607,ENSSSAG00000040791
ENSSSAG00000079642,ENSSSAG00000056399
ENSSSAG00000116652,ENSSSAG00000065724
ENSSSAG00000063936,ENSSSAG00000067099
ENSSSAG00000008579,ENSSSAG00000109138
ENSSSAG00000076571,ENSSSAG00000120883
ENSSSAG00000097843,ENSSSAG00000058643
ENSSSAG00000071284,ENSSSAG00000095110
ENSSSAG00000054376,ENSSSAG00000055938
ENSSSAG00000028652,ENSSSAG00000064908
ENSSSAG00000040632,ENSSSAG00000077638
ENSSSAG00000081663,ENSSSAG00000055954
ENSSSAG00000004802,ENSSSAG00000077676
ENSSSAG00000065890,ENSSSAG00000087300
ENSSSAG00000008869,ENSSSAG00000096954
ENSSSAG00000076754,ENSSSAG00000104426
ENSSSAG00000039899,ENSSSAG00000049688
ENSSSAG00000119742,ENSSSAG00000006144
ENSSSAG00000076319,ENSSSAG00000068500
ENSSSAG00000048073,ENSSSAG00000068338
ENSSSAG00000032055,ENSSSAG00000066450
ENSSSAG00000077659,ENSSSAG00000055414
ENSSSAG00000052655,ENSSSAG00000007294
ENSSSAG00000006777,ENSSSAG00000007286
ENSSSAG00000007031,ENSSSAG00000093278
ENSSSAG00000086172,ENSSSAG00000074295
ENSSSAG00000000389,ENSSSAG00000068565
ENSSSAG00000005195,ENSSSAG00000075652
ENSSSAG00000071774,ENSSSAG00000093782
ENSSSAG00000062802,ENSSSAG00000078168
ENSSSAG00000054746,ENSSSAG00000110522
ENSSSAG00000058816,ENSSSAG00000063131
ENSSSAG00000049929,ENSSSAG00000063211
ENSSSAG00000070390,ENSSSAG00000040424
ENSSSAG00000005885,ENSSSAG00000108728
ENSSSAG00000041859,ENSSSAG00000071514
ENSSSAG00000066945,ENSSSAG00000044436
ENSSSAG00000039229,ENSSSAG00000044238
ENSSSAG00000012970,ENSSSAG00000073342
ENSSSAG00000064674,ENSSSAG00000074054
ENSSSAG00000055442,ENSSSAG00000054267
ENSSSAG00000085691,ENSSSAG00000116284
ENSSSAG00000100080,ENSSSAG00000066133
ENSSSAG00000048870,ENSSSAG00000041466
ENSSSAG00000054902,ENSSSAG00000047884
ENSSSAG00000119324,ENSSSAG00000012488
ENSSSAG00000045829,ENSSSAG00000041893
ENSSSAG00000005785,ENSSSAG00000073118
ENSSSAG00000066552,ENSSSAG00000048397
ENSSSAG00000046800,ENSSSAG00000089088
ENSSSAG00000002870,ENSSSAG00000089855
ENSSSAG00000111398,ENSSSAG00000121441
ENSSSAG00000081331,ENSSSAG00000046323
ENSSSAG00000076313,ENSSSAG00000047923
ENSSSAG00000103873,ENSSSAG00000095191
ENSSSAG00000076820,ENSSSAG00000052401
ENSSSAG00000013940,ENSSSAG00000063869
ENSSSAG00000003853,ENSSSAG00000071431
ENSSSAG00000027762,ENSSSAG00000103557
ENSSSAG00000072298,ENSSSAG00000071477
ENSSSAG00000063140,ENSSSAG00000069220
ENSSSAG00000055992,ENSSSAG00000088630
ENSSSAG00000054084,ENSSSAG00000048641
ENSSSAG00000042280,ENSSSAG00000074375
ENSSSAG00000093182,ENSSSAG00000116274
ENSSSAG00000001311,ENSSSAG00000069168
ENSSSAG00000107749,ENSSSAG00000077465
ENSSSAG00000002315,ENSSSAG00000083480
ENSSSAG00000106647,ENSSSAG00000093511
ENSSSAG00000064827,ENSSSAG00000006321
ENSSSAG00000004476,ENSSSAG00000051864
ENSSSAG00000004349,ENSSSAG00000072734
ENSSSAG00000075646,ENSSSAG00000109131
ENSSSAG00000001566,ENSSSAG00000071203
ENSSSAG00000069788,ENSSSAG00000063431
ENSSSAG00000074668,ENSSSAG00000115834
ENSSSAG00000082853,ENSSSAG00000114513
ENSSSAG00000074369,ENSSSAG00000043630
ENSSSAG00000040519,ENSSSAG00000104260
ENSSSAG00000010609,ENSSSAG00000108830
ENSSSAG00000006391,ENSSSAG00000069403
ENSSSAG00000002340,ENSSSAG00000089482
ENSSSAG00000101693,ENSSSAG00000102910
ENSSSAG00000001984,ENSSSAG00000073344
ENSSSAG00000063975,ENSSSAG00000037239
ENSSSAG00000048069,ENSSSAG00000044494
ENSSSAG00000003499,ENSSSAG00000119308
ENSSSAG00000054921,ENSSSAG00000119308
ENSSSAG00000078852,ENSSSAG00000072776
ENSSSAG00000111735,ENSSSAG00000009165
ENSSSAG00000066736,ENSSSAG00000044386
ENSSSAG00000069932,ENSSSAG00000044727
ENSSSAG00000074996,ENSSSAG00000043932
ENSSSAG00000076230,ENSSSAG00000096927
ENSSSAG00000091674,ENSSSAG00000010193
ENSSSAG00000113557,ENSSSAG00000006588
ENSSSAG00000070225,ENSSSAG00000007252
ENSSSAG00000005920,ENSSSAG00000112886
ENSSSAG00000099468,ENSSSAG00000046072
ENSSSAG00000063615,ENSSSAG00000078051
ENSSSAG00000044192,ENSSSAG00000105688
ENSSSAG00000083043,ENSSSAG00000007767
ENSSSAG00000105888,ENSSSAG00000066711
ENSSSAG00000097788,ENSSSAG00000080019
ENSSSAG00000076885,ENSSSAG00000080012
ENSSSAG00000040562,ENSSSAG00000086977
ENSSSAG00000065732,ENSSSAG00000078597
ENSSSAG00000113482,ENSSSAG00000054024
ENSSSAG00000067886,ENSSSAG00000006674
ENSSSAG00000068972,ENSSSAG00000056556
ENSSSAG00000090540,ENSSSAG00000040976
ENSSSAG00000073315,ENSSSAG00000079563
ENSSSAG00000039375,ENSSSAG00000081017
ENSSSAG00000108226,ENSSSAG00000007990
ENSSSAG00000119412,ENSSSAG00000051551
ENSSSAG00000080325,ENSSSAG00000073042
ENSSSAG00000008685,ENSSSAG00000116937
ENSSSAG00000083694,ENSSSAG00000108100
ENSSSAG00000073748,ENSSSAG00000077786
ENSSSAG00000080008,ENSSSAG00000108132
ENSSSAG00000069204,ENSSSAG00000115333
ENSSSAG00000081658,ENSSSAG00000066045
ENSSSAG00000052229,ENSSSAG00000110423
ENSSSAG00000078869,ENSSSAG00000077778
ENSSSAG00000095424,ENSSSAG00000007476
ENSSSAG00000116160,ENSSSAG00000058679
ENSSSAG00000075153,ENSSSAG00000059116
ENSSSAG00000087400,ENSSSAG00000017232
ENSSSAG00000038552,ENSSSAG00000119743
ENSSSAG00000078540,ENSSSAG00000069562
ENSSSAG00000049259,ENSSSAG00000118099
ENSSSAG00000093882,ENSSSAG00000059761
ENSSSAG00000110575,ENSSSAG00000068463
ENSSSAG00000078086,ENSSSAG00000096692
ENSSSAG00000077691,ENSSSAG00000081215
ENSSSAG00000116632,ENSSSAG00000086687
ENSSSAG00000066271,ENSSSAG00000078982
ENSSSAG00000115270,ENSSSAG00000120955
ENSSSAG00000004752,ENSSSAG00000074511
ENSSSAG00000095820,ENSSSAG00000077549
ENSSSAG00000057067,ENSSSAG00000106820
ENSSSAG00000008639,ENSSSAG00000078700
ENSSSAG00000098279,ENSSSAG00000078725
ENSSSAG00000024837,ENSSSAG00000080323
ENSSSAG00000112620,ENSSSAG00000051852
ENSSSAG00000065372,ENSSSAG00000052041
ENSSSAG00000006809,ENSSSAG00000055794
ENSSSAG00000095155,ENSSSAG00000066989
ENSSSAG00000065470,ENSSSAG00000074304
ENSSSAG00000074912,ENSSSAG00000072406
ENSSSAG00000084437,ENSSSAG00000071345
ENSSSAG00000004426,ENSSSAG00000098523
ENSSSAG00000054939,ENSSSAG00000053913
ENSSSAG00000098197,ENSSSAG00000120394
ENSSSAG00000001065,ENSSSAG00000072242
ENSSSAG00000074172,ENSSSAG00000100365
ENSSSAG00000008188,ENSSSAG00000040985
ENSSSAG00000109959,ENSSSAG00000041048
ENSSSAG00000064182,ENSSSAG00000109466
ENSSSAG00000066297,ENSSSAG00000010155
ENSSSAG00000087185,ENSSSAG00000078192
ENSSSAG00000118635,ENSSSAG00000101618
ENSSSAG00000002622,ENSSSAG00000003021
ENSSSAG00000079931,ENSSSAG00000115764
ENSSSAG00000018923,ENSSSAG00000000151
ENSSSAG00000076506,ENSSSAG00000065377
ENSSSAG00000064319,ENSSSAG00000117349
ENSSSAG00000046599,ENSSSAG00000067298
ENSSSAG00000009555,ENSSSAG00000121775
ENSSSAG00000046550,ENSSSAG00000079701
ENSSSAG00000007518,ENSSSAG00000080209
ENSSSAG00000122198,ENSSSAG00000054893
ENSSSAG00000039934,ENSSSAG00000065517
ENSSSAG00000015787,ENSSSAG00000041540
ENSSSAG00000041153,ENSSSAG00000104204
